id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,correct_calls,accuracy,consistency,favor_home,total_run_impact
496,2022-09-02,85,6,8,3,2,143,12,131,91.6,93,0.05,1.13
497,2022-09-02,33,3,20,5,2,130,11,119,91.5,92.3,-0.78,1.82
498,2022-09-02,2,10,12,5,4,145,6,139,95.9,95.9,-0.07,0.81
499,2022-09-02,86,18,30,7,3,156,11,145,92.9,92.9,-0.48,0.94
500,2022-09-02,47,7,24,1,6,150,6,144,96,98,-0.31,0.53
501,2022-09-02,15,4,28,9,1,163,7,156,95.7,94.5,-0.77,1.31
502,2022-09-02,40,27,19,9,0,159,10,149,93.7,93.1,-0.84,1.4
503,2022-09-02,26,2,15,8,1,147,10,137,93.2,93.9,0.18,1.14
504,2022-09-02,25,9,17,4,3,144,6,138,95.8,95.1,-0.03,0.81
505,2022-09-02,50,26,5,8,0,169,8,161,95.3,94.7,-0.6,0.96
506,2022-09-02,23,13,11,2,4,152,13,139,91.4,94.1,0.85,3.19
507,2022-09-02,74,1,16,2,1,162,7,155,95.7,93.2,-0.63,0.87
508,2022-09-02,7,14,23,1,7,162,10,152,93.8,94.4,0.18,1.42
509,2022-09-02,35,25,21,13,1,171,9,162,94.7,95.9,0.59,1.13
510,2022-09-01,8,10,24,0,7,141,5,136,96.5,93.6,0.06,0.84
511,2022-09-01,11,9,12,7,1,151,7,144,95.4,92.7,0.45,0.45
512,2022-09-01,79,30,20,7,5,178,12,166,93.3,93.8,0.62,1.32
513,2022-09-01,69,18,14,5,3,169,14,155,91.7,95.9,0.96,1.98
514,2022-09-01,13,7,3,0,3,137,6,131,95.6,94.9,0.15,0.47
515,2022-09-01,90,4,28,9,8,197,4,193,98,98,-0.47,0.63
516,2022-09-01,59,2,8,3,0,118,8,110,93.2,94.1,0.4,0.58
517,2022-09-01,43,1,16,5,0,117,5,112,95.7,96.6,0.15,0.43
518,2022-08-31,39,28,11,3,5,150,13,137,91.3,92,1.42,1.96
519,2022-08-31,60,16,22,6,1,165,5,160,97,93.3,-0.67,0.85
520,2022-08-31,3,25,23,4,5,155,16,139,89.7,90.3,0.52,2.54
521,2022-08-31,44,7,3,0,4,139,7,132,95,96.4,-0.21,0.67
522,2022-08-31,28,6,26,3,5,195,11,184,94.4,92.3,-0.09,1.47
523,2022-08-31,66,15,27,1,2,127,9,118,92.9,93.7,0.11,0.71
524,2022-08-31,22,30,20,5,1,127,6,121,95.3,95.3,-0.17,0.55
525,2022-08-31,70,29,5,5,7,146,16,130,89,91.1,0.11,1.89
526,2022-08-31,68,18,14,2,1,113,13,100,88.5,89.4,0.67,1.33
527,2022-08-31,37,10,24,3,5,142,7,135,95.1,95.1,0.2,0.76
528,2022-08-31,18,2,8,3,2,136,15,121,89,85.3,-0.52,1.38
529,2022-08-31,1,17,4,5,6,150,9,141,94,94.7,0.14,0.84
530,2022-08-31,78,9,12,4,2,122,6,116,95.1,91.8,0.45,1.05
531,2022-08-31,80,13,19,3,2,120,6,114,95,95.8,-0.3,0.68
532,2022-08-31,54,1,21,2,18,145,9,136,93.8,93.8,0.24,1.48
533,2022-08-30,20,7,3,5,1,126,7,119,94.4,96,1,1.86
534,2022-08-30,52,6,26,5,1,131,10,121,92.4,92.4,-0.42,1.3
535,2022-08-30,46,15,27,2,7,142,10,132,93,92.3,-0.15,1.31
536,2022-08-30,42,30,20,6,10,174,8,166,95.4,94.3,0.1,0.96
537,2022-08-30,19,29,5,5,3,157,8,149,94.9,95.5,-0.12,0.62
538,2022-08-30,87,18,14,3,4,159,15,144,90.6,93.1,0.27,1.99
539,2022-08-30,24,10,24,3,9,159,14,145,91.2,89.9,-0.26,1.6
540,2022-08-30,41,2,8,2,3,154,8,146,94.8,95.5,0.48,0.82
541,2022-08-30,91,17,4,10,5,170,12,158,92.9,92.4,0.05,2.35
542,2022-08-30,9,28,11,2,4,140,9,131,93.6,94.3,0.3,1.8
543,2022-08-30,14,9,12,7,9,180,6,174,96.7,96.1,-0.06,0.38
544,2022-08-30,51,16,22,2,4,162,6,156,96.3,94.4,-0.08,0.56
545,2022-08-30,4,13,19,4,7,150,6,144,96,93.3,-0.28,0.6
546,2022-08-30,30,1,21,12,3,156,8,148,94.9,92.9,0.38,0.96
547,2022-08-30,81,25,23,3,4,191,16,175,91.6,89,-0.43,2.39
548,2022-08-29,61,6,26,4,13,168,7,161,95.8,95.8,0.68,1.2
549,2022-08-29,27,15,14,2,3,176,10,166,94.3,90.9,-0.78,1.28
550,2022-08-29,15,29,5,5,4,165,11,154,93.3,95.8,0.33,0.99
551,2022-08-29,45,17,4,4,2,160,12,148,92.5,93.8,-0.26,2.04
552,2022-08-29,82,16,22,7,5,199,16,183,92,90.5,-0.18,1.7
553,2022-08-29,74,13,19,4,3,109,8,101,92.7,90.8,-0.4,0.76
554,2022-08-29,75,1,21,13,7,189,8,181,95.8,94.2,-1.2,1.78
555,2022-08-29,64,25,23,5,6,173,10,163,94.2,96,0.64,0.94
556,2022-08-28,47,15,14,1,8,153,6,147,96.1,94.8,-0.7,1.12
557,2022-08-28,43,30,6,3,2,125,11,114,91.2,95.2,0.76,3.72
558,2022-08-28,11,4,27,4,12,156,6,150,96.2,95.5,0.41,0.93
559,2022-08-28,71,21,22,0,5,129,4,125,96.9,96.9,0.3,0.36
560,2022-08-28,49,29,13,3,8,175,8,167,95.4,94.3,0.64,1.04
561,2022-08-28,2,18,8,0,1,130,6,124,95.4,94.6,0.13,0.41
562,2022-08-28,73,11,3,3,1,158,16,142,89.9,93,0.95,2.39
563,2022-08-28,56,12,23,15,7,200,21,179,89.5,92.5,-2.5,3.94
564,2022-08-28,17,17,25,8,3,184,13,171,92.9,92.9,-0.69,1.19
565,2022-08-28,23,9,1,2,3,150,11,139,92.7,94,0.41,1.23
566,2022-08-28,86,16,5,9,7,193,18,175,90.7,90.2,-0.6,2.34
567,2022-08-28,88,28,10,8,9,165,7,158,95.8,93.3,0.26,0.66
568,2022-08-28,3,20,19,4,1,163,15,148,90.8,90.8,-0.08,1.98
569,2022-08-28,7,24,7,4,0,127,6,121,95.3,92.1,0.23,0.49
570,2022-08-28,65,26,2,6,3,135,13,122,90.4,90.4,0.02,1.7
571,2022-08-27,85,29,13,0,2,150,12,138,92,92.7,-0.24,2.22
572,2022-08-27,33,4,27,5,1,130,9,121,93.1,92.3,-0.3,1.02
573,2022-08-27,58,21,22,6,0,152,12,140,92.1,90.1,0.64,1.48
574,2022-08-27,39,15,14,2,1,97,8,89,91.8,92.8,0.33,1.27
575,2022-08-27,84,30,6,2,6,152,10,142,93.4,91.4,-0.42,0.92
576,2022-08-27,77,28,10,2,11,149,12,137,91.9,91.3,-0.27,1.59
577,2022-08-27,28,11,3,1,3,137,13,124,90.5,94.2,0.25,1.43
578,2022-08-27,13,18,8,3,0,144,13,131,91,91,0.13,1.57
579,2022-08-27,90,12,23,3,4,145,7,138,95.2,94.5,0.52,0.96
580,2022-08-27,80,9,1,5,10,155,9,146,94.2,91.6,-0.59,1.11
581,2022-08-27,59,16,5,7,0,168,6,162,96.4,93.5,0.79,0.95
582,2022-08-27,79,17,25,3,2,194,18,176,90.7,90.7,-0.73,3.47
